Webpage,Preprocessed_Text,Preprocessed_Document
Privilege,['privilege'],['privileg']
Club,['club'],['club']
Programme.,['programme'],['programm']
also,['also'],['also']
agree,['agree'],['agre']
receiving,['receiving'],['receiv']
communications,['communications'],['commun']
"email,",['email'],['email']
"post,",['post'],['post']
SMS,['sms'],['sm']
social,['social'],['social']
media,['media'],['media']
membership,['membership'],['membership']
"account,",['account'],['account']
offers,['offers'],['offer']
news,['news'],['news']
Qatar,['qatar'],['qatar']
Airways,['airways'],['airway']
Privilege,['privilege'],['privileg']
"Club,",['club'],['club']
Privilege,['privilege'],['privileg']
Club,['club'],['club']
partner,['partner'],['partner']
offers,['offers'],['offer']
market,['market'],['market']
research,['research'],['research']
time,['time'],['time']
time.,['time'],['time']
Upgrade,['upgrade'],['upgrad']
Cancel,['cancel'],['cancel']
browser,['browser'],['browser']
support,['support'],['support']
JavaScript!,['javascript'],['javascript']
/content/pk/en/homepage,['/content/pk/en/homepage'],['contentpkenhomepag']
https://www.qatarairways.com/en-pk/search-results.html,"['https', '//www.qatarairways.com/en-pk/search-results.html']",['httpswwwqatarairwayscomenpksearchresultshtml']
Search,['search'],['search']
Please,['please'],['pleas']
enter,['enter'],['enter']
Search,['search'],['search']
term,['term'],['term']
Search,['search'],['search']
Search,['search'],['search']
Popular,['popular'],['popular']
searches,['searches'],['search']
Help,['help'],['help']
Check,['check'],['check']
online,['online'],['onlin']
Manage,['manage'],['manag']
booking,['booking'],['book']
Destinations,['destinations'],['destin']
Qatar,['qatar'],['qatar']
Airways,['airways'],['airway']
perfect,['perfect'],['perfect']
travel,['travel'],['travel']
companion,['companion'],['companion']
Switch,['switch'],['switch']
app,['app'],['app']
Skip,['skip'],['skip']
content,['content'],['content']
QatarAirways-Logo,['qatarairways-logo'],['qatarairwayslogo']
privilege-club,['privilege-club'],['privilegeclub']
PRIVILEGE,['privilege'],['privileg']
CLUB,['club'],['club']
one-world,['one-world'],['oneworld']
en,['en'],['en']
Choose,['choose'],['choos']
region,['region'],['region']
Americas,['americas'],['america']
Europe,['europe'],['europ']
Africa,['africa'],['africa']
Middle,['middle'],['middl']
East,['east'],['east']
GCC,['gcc'],['gcc']
Asia-Pacific,['asia-pacific'],['asiapacif']
International,['international'],['intern']
English,['english'],['english']
العربية-النسخة,['العربية-النسخة'],['العربيةالنسخة']
العالمية,['العالمية'],['العالمية']
Americas,['americas'],['america']
Argentina,['argentina'],['argentina']
Español,['español'],['español']
Brasil,['brasil'],['brasil']
Português,['português'],['portuguê']
Canada,['canada'],['canada']
English,['english'],['english']
Canada,['canada'],['canada']
Français,['français'],['françai']
United,['united'],['unit']
States,['states'],['state']
English,['english'],['english']
Latin,['latin'],['latin']
America,['america'],['america']
Español,['español'],['español']
Europe,['europe'],['europ']
Armenia,['armenia'],['armenia']
English,['english'],['english']
Austria,['austria'],['austria']
English,['english'],['english']
Österreich,['österreich'],['österreich']
Deutsch,['deutsch'],['deutsch']
Azerbaijan,['azerbaijan'],['azerbaijan']
English,['english'],['english']
Belgium,['belgium'],['belgium']
English,['english'],['english']
Belgique,['belgique'],['belgiqu']
Français,['français'],['françai']
Bosnia,['bosnia'],['bosnia']
Herzegovina,['herzegovina'],['herzegovina']
English,['english'],['english']
Bulgaria,['bulgaria'],['bulgaria']
English,['english'],['english']
България,['българия'],['българия']
Български,['български'],['български']
Croatia,['croatia'],['croatia']
English,['english'],['english']
Hrvatska,['hrvatska'],['hrvatska']
hrvatski,['hrvatski'],['hrvatski']
Cyprus,['cyprus'],['cypru']
English,['english'],['english']
Czech,['czech'],['czech']
Republic,['republic'],['republ']
English,['english'],['english']
Česká,['česká'],['česká']
republika,['republika'],['republika']
česky,['česky'],['česki']
Denmark,['denmark'],['denmark']
English,['english'],['english']
Germany,['germany'],['germani']
English,['english'],['english']
Deutschland,['deutschland'],['deutschland']
Deutsch,['deutsch'],['deutsch']
España,['españa'],['españa']
Español,['español'],['español']
Finland,['finland'],['finland']
English,['english'],['english']
France,['france'],['franc']
Français,['français'],['françai']
Georgia,['georgia'],['georgia']
English,['english'],['english']
Greece,['greece'],['greec']
English,['english'],['english']
Ελλάδα,['ελλάδα'],['ελλάδα']
Ελληνικά,['ελληνικά'],['ελληνικά']
Hungary,['hungary'],['hungari']
English,['english'],['english']
Magyarország,['magyarország'],['magyarország']
Magyar,['magyar'],['magyar']
Ireland,['ireland'],['ireland']
English,['english'],['english']
Italia,['italia'],['italia']
Italiano,['italiano'],['italiano']
Malta,['malta'],['malta']
English,['english'],['english']
Netherlands,['netherlands'],['netherland']
English,['english'],['english']
North,['north'],['north']
Macedonia,['macedonia'],['macedonia']
English,['english'],['english']
Norway,['norway'],['norway']
English,['english'],['english']
Poland,['poland'],['poland']
English,['english'],['english']
Polska,['polska'],['polska']
Polski,['polski'],['polski']
Portugal,['portugal'],['portug']
English,['english'],['english']
Portugal,['portugal'],['portug']
Português,['português'],['portuguê']
Romania,['romania'],['romania']
English,['english'],['english']
România,['românia'],['românia']
Română,['română'],['română']
Switzerland,['switzerland'],['switzerland']
English,['english'],['english']
Schweiz,['schweiz'],['schweiz']
Deutsch,['deutsch'],['deutsch']
Suisse,['suisse'],['suiss']
Français,['français'],['françai']
Serbia,['serbia'],['serbia']
English,['english'],['english']
Srbija,['srbija'],['srbija']
srpski,['srpski'],['srpski']
Sweden,['sweden'],['sweden']
English,['english'],['english']
Türkiye,['türkiye'],['türkiy']
Türkçe,['türkçe'],['türkçe']
Ukraine,['ukraine'],['ukrain']
English,['english'],['english']
Україна,['україна'],['україна']
Українська,['українська'],['українська']
United,['united'],['unit']
Kingdom,['kingdom'],['kingdom']
English,['english'],['english']
Россия,['россия'],['россия']
Русский,['русский'],['русский']
УзбекистанРусский,['узбекистанрусский'],['узбекистанрусский']
Africa,['africa'],['africa']
